text,label
text,label
@varlamov @McFaul На,skip
велл они  всё равно что мусор так что ничего страшного 🤣,negative
"""трезвая жизнь какая-то такая стрёмная""
(с) артём azrtusa",negative
Ой какие неожиданные результаты 🤭 https://t.co/ZwOHPDKUqq,neutral
"@Shvonder_chief @dimsmirnov175 На заборе тоже написано,а там другое.О сборе денег слышу впервые.",neutral
@idkwhht мы тоже мебельная компания уджина😳😳😳,neutral
Счастья здоровья 10 классникам https://t.co/M9VunSiXDI,speech
@dntbliev НЕ ПАЛИ.,neutral
@BTS_twt ты такой красивый 😭😭😭🥺💓,positive
"@Ladyzchensk Цыган , хуле ...",negative
"@nikogdanahui1 С днём рождения 🥳 
Успехов и побед тебе☀️",speech
@okdaa @wifeyoonminn @Y_Yoon_ Но ты очень красиво и чувственно пишешь(,positive
"@Luvyurbodybby ""Я играю в волейбол не ради смысла.""",neutral
@Susanoo51489064 ВХВХВХ,positive
"@tutby 📊
-- «День Выборов Президента Беларуси» — начать опрос — https://t.co/eM6JwORI0t",neutral
@ZippinkC @lenny_lanzz ПЛАЧУ,negative
@BettyBoo_rus Надо тоже надоедать начать) Спасибо за информацию,neutral
"@shn_shah Кеча топилмагунча уйқим кемаганди😅

Мушук манимча",skip
@yoursungshine малышка спи сладко ❤,positive
"@lIl__muna__ @kpop_asiangirl хех, я просто объяснил матушке, что использую маты для придания большей эмоциональной окраски своей речи.",neutral
"@bLianaaaa Я також творю хуйню, тому давай творити хуйню разом🤝",negative
"@gygwas Я уже готова быть выебанной через экран 

А ой",negative
@viktoshamurrr7 @CMEPTU___HET @derella9 Кладбище домашних животных-3,skip
как же я люблю титьки  https://t.co/C2M8rMDFyc,positive
@nimitide_ne Абаммед Мухдул,neutral
обсуждаем последние новости. https://t.co/BjxlbOwog9,neutral
@ughdaechwitta все мужики такие,negative
"Реакция болельщиков «Челси» на трансфер Виктора Мозеса в «Спартак»
https://t.co/3JlfjnCNf3",neutral
это как то странно чтлио,skip
ощущаю на себе выражение «влачить своё существование»,negative
"Вы помните, когда зарегистрировались в Твиттере? Я помню! #МояГодовщинаВТвиттере https://t.co/RXGtF7Xtze",neutral
стэнить гат7 было моим самым лучшим решением на всю свою жизнь,positive
@simpforkeijii АХАХА ЛАДНО СПАСИБО,speech
"@naiveximp Вийди отсюда, розбійник писала моя хорошая подружка, почитай 😏😏😏",neutral
@xiaogoldjoy @littlebear_j согласна.,neutral
@Krimoza_k @ATEEZofficial И целых два сразу🤭💖💖💖,positive
@Pooh72Rus а весь список огласить не судьба?,negative
@_Ozick Там ролевики какие-то и они с помощью нашего контента отыгрывать. Твои видео там тоже были,neutral
@miirozzdaniie Ебошь,negative
когда очень хочется сменить форму и тебе скучно,negative
"три руки вышли из дохуллион, можно отпраздновать.",negative
"Ачё куда все пропали.. Я твит два часа назад сделала, а там один лайк😗✌️",neutral
@avantroux @Plesk7 @mix87074735444 Услышал,skip
всем привет мем вышел из под контроля это больше не мем https://t.co/AWTDyCbw2s,neutral
"@romanponomaryov @navalny @DrAnastasy @vigimadi Пономарь, ты опять обхуярился?",negative
"иоооо нэг тариа тариулсан үхэхжийн 💉
баруун талын хөл тэр чигээрээ янгиначлаа😢",skip
"итак время софтить тэхена
 https://t.co/H8wwf6IcEV",positive
@dontwastemyouth мне так приятно❤️❤️🥺🥺,positive
@raccoonya2 О ма гад. У меня даже такого не было.....,neutral
@motherland_sale думаю тут грань размыта,neutral
чимин самый вкусный рисовый пирожочекк https://t.co/r4HLfnRJZT,positive
Я НЕ ТАМ СВЕРНУЛА И ПРИЕХАЛА В ДЕРЕВНЮ https://t.co/wjQO2dzW3D,skip
"@nunjje Такая же фигня, я не помню большую часть своего детства, а я знаю я его только из рассказов своих родителей и видеозаписей",negative
"Сегодня ночью буду обнимать только книги и рефераты, а хотелось бы вас. Сладких снов, миледи/милорд. Спите сладко.",positive
@_Sweet_Foxy_ понимаю ((,skip
В Симферополе разрабатывают план по обустройству велодорожек.  https://t.co/TngAzcGCix,neutral
"Отменила последнюю бронь отпускного жилья. Очень больно, помогите",negative
@zerana_stay Красивааа,positive
"#BANGBANGCON мы посмотрели целый концерт 🥺🤙🏻
Я уже в душ успела сходить да где второй",neutral
Мне нужно переводить эфир мальчиков..... думаю вот чем я займусь ночью,neutral
"Блин, свадьбу хочу",positive
@just_our_star Спасибо 🥰,speech
@yoursbitchh @Pour_un_reve Так безопасней. На этом же настаивали два Сергея,positive
@AnnaOmegova Ахаххах,positive
@keyz_dnwm покойной тебе увуня...💖💕💝💘💗💓💘💓💕💗💕,skip
Открывай! https://t.co/4lzJ0uAkRP,skip
@rat_else а ой,neutral
@iamgryffindors Что,neutral
@lastbirdofsouth как что-то плохое),skip
"рыбалка в инском на тёплом канале , уклейка , карасики, прикорм мастырка... https://t.co/yXI68vw44n с помощью @YouTube",neutral
Снова позвонили с ебучей работы с:,negative
тоби и курама софтятся конец света близок да,negative
@ja_jamong_ еще хуже,negative
Вы вместе просто идеальны!,positive
"В музыкальную школу Бузулука впервые приобрели клавишные гусли
https://t.co/Z54s5N5EsV",neutral
@stpkv @_agattie а это солнышко или можно по пацански,neutral
"на случай если день не удался♥
.
.
.
©santasticly 
#ATEEZ #San https://t.co/94pyU3bOmr",positive
Бранислав Иванович покинет «Зенит» по окончании текущего сезона,neutral
@Lost_MyHome грех жаловаться я считаю.......,neutral
"сегодня перед сном желаю, чтобы уголочек вашего одеяла, который вы обнимаете, сказал вам что именно этих тёплых объятий он ждал весь день",positive
Монголия закрыла границу с Китаем.,neutral
@14Melasya Я из Красного Луча🖐️ а учусь в Луганске 🖐️,neutral
@midhowl понимаю :з,neutral
@gayprimero @st1rygay @lunliss @snisinica @Xaocits всем снятся....,neutral
"@ttuyrtt удачи тебе! танцы - это лучшее, что придумало человечество🥺❤️",positive
Лежу так https://t.co/rprpBaiIwx,neutral
ах ах https://t.co/1fEXICzQNE,skip
Я ненавижу сексуализацию женских персонажей 👺👺👺,negative
"Хочу на жизнь кирпич повесить,
чтоб не въезжали дураки.",negative
@be_my_emotions Воу воу БэДэМэСэ,skip
"@ln645 @red_semi_sweet @BTS_twt Я очень далеко(( 
#MTVHottest  BTS @BTS_twt",negative
"если это правда насчёт тао и чжиын , то я блять всё...я уже щас орать буду",negative
"Как думаете, что будет если я так сфоткаюсь https://t.co/IbLDSQJxVb",neutral
Самый блятт сложный экзамен для меня,negative
"@9Hokage7 Плиз ты сама такой котичек, ты все это заслужила, ты молодец",positive
чтО Я НАШЁЛ- https://t.co/2s4Eu9vTFh,skip
День удался https://t.co/UtQTgRIMZx,positive
@pochemu_ta Заусенец на мизинце да?,neutral
@tuluuna и тебе🥺💖,positive
ты мой сахар и в этом соль,neutral
@Umfcsamregion ну вот и дождались. спасибо.,positive
@margo43432973 Ор,skip
"@DRIVEyoucRazy89 Отличная работа! Я вами очень довольна. 5 баллов лично вам, и 30 Гриффиндору. Обещаю еще поблажку на экзамене /подмигнула/",positive
@Nickolas_Grin Похвально от стопгейма,positive
"@akai_no_sinchan эээ....
небось, ино-ущемленцы поблочили хд",negative
@MarkUrbanist @xyendelson Гад..😞,negative
"Мой рост 156 см 
Что вам нужно сделать чтобы поцеловать меня? https://t.co/Q6dCVbNmRE",neutral
"@_nushoti У моей жены такой есть.

И да, это я",neutral
он крошечный 🥺 https://t.co/ltGB5A9O0F,neutral
"Ну вот впервые
https://t.co/MIKL9SpAx3",neutral
@snakey_ssnake Делать еще ╰(‵□′)╯ (мне понравилось),positive
@oyukhaaaa @khaliunbuga Шөнөжин хөөгдөж байхаар нэг хөлөндөө тээглээд ч болтугай унадаг байгаа даа 🤣🤣🤣,skip
@cerealporridge 😭😭😭😭♥️♥️♥️♥️ спасибо 😭♥️♥️♥️♥️,speech
"любая защита это вагина 

любая атака это член",skip
"В СевГУ прошел круглый стол по случаю Дня солидарности в борьбе с терроризмом
https://t.co/gRhxMl6LEQ https://t.co/jvx1TwAIQQ",neutral
"@great_knee Бро,моя тоже",neutral
@GGuchenko @Ares29014619 @arlig23 @Stepan05244836 а что ты так перепугался то?,neutral
"галя, подай                              ГАЛЯ 
мне, пожалуйста,                  ХЛЕБ
хлеб https://t.co/zuojNCxqHY",neutral
@stragerks @belkahanj Взаимный чс?,neutral
@nickstepler @bubblegumchuu @BTS_twt я буквально... ок не обосрись,negative
@lvilka_huilkal Шары распадутся?,neutral
"@GintokiLovesYou ТЫ СДЕЛАЛ ЧТО-

ГИНТОКИ ТЫ В БАНЕ",negative
@bsa_ym7 писать,skip
